PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
50-0014-9;72914;LIGHT,LANDING,AIRCRAFT;EA;12176,55
MS14101-3;96906;BEARING,PLAIN,SELF-ALIGNING;EA;73,92
B6582;17472;COUPLING;EA;4870,12
CA33020;8118;COUPLER ASSEMBLY;EA;2026,99
4050-1;98429;BALANCE ASSEMBLY;EA;1381,91
ES500-6-48;17472;SCREW,MACHINE;EA;175,46
23065-1770;3CPE0;IMPELLER,FAN,AXIAL;EA;4586,12
4842X3-8;38597;FILTER ELEMENT,FLUID;EA;119,53
18316G-02;71483;CUSHION,EAR;EA;64,12
5131C364Z;14242;COUPLING,CLAMP,GROOVED;EA;6119,89
8705;F6137;FILTER ELEMENT,FLUID;EA;166,96
32038-124;F6137;ANEL VEDACAO;EA;21,14
MS27212-2-5;81343;BARRA DE TERMINAL;EA;66,57
110-2723-09-02;S4956;HINGE,AIRCRAFT;EA;2135,25
110-2723-09-03;FB459;HINGE,AIRCRAFT;EA;19699,37
4A-611-21-04;S4956;TUBE ASSEMBLY,METAL;EA;861,29
4A780-10-20-30;S4956;BASE PROTETOR ESQ;EA;459,9
NAS1189-06P14L;7679;SCREW,CAP,SOCKET HEAD;EA;15,12
MS3476W12-8S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;129,11
AS5190W05;88044;ELBOW,BOSS;EA;130,31
AN3115-1;88044;CONNECTOR,RECEPTACLE,ELECTRICAL;EA;268,64
MS25041-4-328;96906;LIGHT,INDICATOR, LENS COLOR YELLOW SINGLE LIGHT, TRANSPARENT, WITH LAMP NUMBER 328;EA;201,52
M22520/5-41;81349;DIE,CRIMPING T;EA;1449,31
AN919-15J;88044;REDUCER,BOSS;EA;93,42
PMD13K60;53641;TRANSISTOR;EA;127,61
B3339;FA1D6;BOLT,MACHINE;EA;156,79
MS21042L3;80205;NUT,SELF-LOCKING,HEXAGON;EA;240,28
D38999/26WC35SN;81349;CONNECTOR,PLUG,ELECTRICAL,22S NO.13;EA;152,48
M83536/22-022M;81349;RELAY 3PDT 28V SOCHET PIN;EA;872,54
A3087;24692;WASHER,FLAT;EA;25,39
MS27053-8;96906;PIPE;EA;357,48
M83798/3-4;81349;ELBOW, TUBE TO HOSE;EA;434,08
M83798/3-004;81349;ELBOW, TUBE TO HOSE;EA;455,56
MS21907W4;81343;ELBOW,TUBE;EA;85
MS3106A14S2S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;216,37
MS21916J8-6;96906;REDUCER,BOSS;EA;81,18
NAS659-3-5;80205;BEARING, BALL, ROD END;EA;1706,53
MS35206-234;96906;SCREW,MACHINE;EA;23,53
N06-12-41-3-2-2;F9211;BEARING,PLAIN,ROD END;EA;877,95
365A57-1253-20;F0210;PLATE,MOUNTING;EA;247,88
9207-4399;58657;RELAY,ELECTROMAGNETIC;EA;12850,18
B3001-2;24692;COLLAR PROPELL;EA;4701,89
R4ZZ;38443;BEARING,BALL,ANNULAR;EA;0,08
A9155-1;17472;SHIM;EA;3693,63
205-031-669-7;97499;WINDOW PANEL,A;EA;45750,66
B5198-1;17472;TUBE,METALLIC;EA;2673,49
4A-501-10-01-07;S4956;CONNECTING LINK,RIGID;EA;4535,82
4A-2115-21-10;S4956;GASKET;EA;233,5
3-1158-8;86768;SPACER;EA;138,35
B6552;17472;ADAPTER;EA;1772
717503-0001;22373;CLUTCH SERVO,PRIMAR;EA;24084,71
XD4N;58657;RELAY,ELECTROMAGNETIC;EA;614,36
CDR21BG301CFTR;81349;CAPACITOR,FIXED,CERAMIC DIELECTRIC;EA;210,52
99-4944;99167;GASKET;EA;827,23
A1306;24692;GASKET;EA;22,79
171007;16827;GAGE,DIFFERENTIAL,DIAL INDICATING;EA;1616,83
MS20066-95;96906;KEY,MACHINE;EA;25,54
AC900F4UP1;18350;FILTER ELEMENT;EA;2632,5
MS21256-3;96906;CLIP,RETAINING,AVIATION;EA;2,08
57A0304;24692;BOLT,INTERNAL WRENCHING;EA;397,28
M-A4-157;18783;BRUSH, ELECTRICAL CONTACT;EA;211,47
